allocator,allocator_label,offset,date,realised_beta_252d
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-02,0.16144458808544662
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-03,0.16152086281605016
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-04,0.163158529249997
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-05,0.16466074745091913
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-08,0.166284722331585
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-09,0.166280525814454
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-10,0.16843022156293605
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-11,0.16800282130785824
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-12,0.16822818400078385
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-15,0.1662270735246064
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-16,0.1660360537173685
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-17,0.16717002700645853
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-18,0.16767842925715856
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-19,0.1680371180158819
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-22,0.16807596220601
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-23,0.16919220852562222
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-24,0.16768695934713507
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-25,0.16555553354171393
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-26,0.1641080498645084
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-30,0.16569164506764006
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-05-31,0.16577010515847077
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-01,0.1634763514213773
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-02,0.16192159183069904
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-05,0.16068676412901398
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-06,0.1601697675433687
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-07,0.1598240282025331
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-08,0.1584200183044293
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-09,0.15802589576173892
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-12,0.1585432903138091
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-13,0.15876707816359514
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-14,0.1554922131170984
b1_ranked_volscale,Volatility-scaled portfolio,o0,2000-06-15,0.15615090739278056
